HABERLER,ETIKET
"Küresel internet televizyon ağı Netflix, bu yılın üçüncü çeyreğinde net kar ve gelirinin arttığını duyurdu.",Ekonomi
Asya borsalarında alış ağırlıklı bir seyir izlendi,Ekonomi
Piyasa güne eksi rezervde başladı,Ekonomi
ABD'de konut başlangıçları 1 yılın en düşüğünde,Ekonomi
Türkiye'nin finansal varlıkları 10 trilyon TL'yi geçti,Ekonomi
Merkez'in döviz rezervi 6 Ocak'tan bu yana en yüksek seviyede!,Ekonomi
"Dünya Bankası Türkiye Direktörü Johanssen Zutt, 'Türkiye'nin büyüme tahminini yükselteceğiz'",Ekonomi
"Merkez Bankası, Takasbank'ı tapu takasları ve gayrimenkul alım-satımlarında aracılık yapması için görevlendirdi.",Ekonomi
Denge Yatırım Holding'in 55.4 milyon liraya yüzde 48.5'nin satılması ile birlikte hisse yükselişe geçti.,Ekonomi
"Birleşik Krallık'ta işsizlik yüzde 4,3 seviyesinde",Ekonomi
Doğtaş'ın yabancı ortağından hisse satışı,Ekonomi
Beşiktaş hisseleri güne yükselişle başladı,Ekonomi
IBM'in üçüncü çeyrekte net karı ve geliri azaldı,Ekonomi
"New York Fed Başkanı Dudley, '2017'de 3 faiz artışını başarma yolunda ilerliyoruz'",Ekonomi
Tarihin en büyük halka arzı seneye yapılıyor,Ekonomi
Düşük faizler reformlar için bir fırsat',Ekonomi
"Kamu ihalelerinde istekli ve yükleniciler, sigorta şirketlerinden alacakları kefalet senedini teminat mektubu olarak verebilecek.",Ekonomi
"Fed için biri göze girdi, diğeri düştü",Ekonomi
Asya borsalarında alış ağırlıklı bir seyir izlendi,Ekonomi
Galatasaray'ın piyasa değeri 110 milyon TL arttı,Ekonomi
Piyasalar hareketlenen veri trafiğine odaklandı,Ekonomi
"Çin Merkez Bankası, adeta dolara meydan okurcasına yuanın global kullanımının artacağını açıkladı.",Ekonomi
New York borsası rekorla açıldı,Ekonomi
"Borsa rekor kırdı, dolar düşüyor",Ekonomi
Broadcom'dan Qualcomm'a 130 milyar dolar!,Ekonomi
Brexit müzakereleri 'para' konusuna takıldı,Ekonomi
"Türkiye Cumhuriyet Merkez Bankası beklenti anketinde değişikliğe gidiyor; TÜFE beklentilerinde 5 ve 10 yıl vadeler, fonlama maliyetinde 3 ve 12 ay vadeler ankete dahil ediliyor.",Ekonomi
"Reel efektif döviz kuru endeksi, ekimde TÜFE bazında 87,96'ya geriledi.",Ekonomi
Trump: Ekonominiz bizimki kadar iyi olmasın,Ekonomi
"New York borsası, haftanın ilk işlem gününe yatay seviyeden başladı.",Ekonomi
"BIST 100 endeksi, günün ilk yarısında yüzde 0,88 değer kazanarak 112.269,13 puana yükseldi.",Ekonomi
Fed'den 2018'de 4 faiz artırımı bekleniyor,Ekonomi
"Avrupa Merkez Bankası Yönetim Kurulu Üyesi Benoit Coeure, ""Varlık alım programının uzatılması euroyu destekleyebilir"" dedi.",Ekonomi
Çin'in üçüncü çeyrek öncü cari fazlası 37.1 milyar dolar.,Ekonomi
"Dardanel, vade aşımı olan bir borcu bulunmadığını bildirdi.",Ekonomi
"Avrupa borsaları, İngiltere hariç güne düşüşle başladı.",Ekonomi
"İnternetten gerçekleşen kartlı ödemelerin tutarı 2011 yılında 18,7 milyar lira iken 2016'da 68,4 milyar liraya ulaştı.",Ekonomi
"Bankaların turizm sektörüne kullandırdığı toplam nakdi kredi miktarı, son 5 yılda yüzde 282 artışla 61,4 milyar lira oldu.",Ekonomi
"Merkez Bankası verilerine göre piyasa 87.013,9 milyon lira ekside açıldı.",Ekonomi
"Brent petrolün varil fiyatı, haftanın ilk işlem gününde Suudi Arabistan'da yaşanan gelişmelerin ardından 62,38 dolardan işlem görüyor.",Ekonomi
"Gram altın haftaya düşüşle başladı; Altının gramı 158,4 lira, çeyrek altın 260 lira, Cumhuriyet altını da 1.059 liradan satılıyor.",Ekonomi
Asya borsalarında haftanın ilk işlem gününde karışık bir seyir izlendi.,Ekonomi
Dijital para pazarının büyüklüğü 200 milyar doları geride bıraktı,Ekonomi
"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 1,66 düşüşle 112.271,86 puandan tamamladı.",Ekonomi
"Dünyanın birçok zengin ismi ile büyük şirketlerin vergi cennetlerindeki yatırımlarıyla ilgili iddiaları içeren “Paradise Papers”, teknoloji devi Apple ile ilgili iddiaları da gündeme getirdi.",Ekonomi
Avrupa borsaları yükselişle açıldı,Ekonomi
Bitcoinin %1'ine sahip milyarder ikizler,Ekonomi
"Yabancı yatırımcının borsadaki net alımı 1,8 milyar dolar",Ekonomi
"Albaraka Türk tarafından yapılan açıklamada ""Kamel, Bankamızın ortaklarından Albaraka Bankacılık Grubu'nun dolaylı ortaklarından birisidir"" denildi.",Ekonomi
Altında rekorlar yatırımcısını güldürdü,Ekonomi
ABD bankaları kredi standartlarını gevşetti,Ekonomi
"Perakende mağazacılık zinciri BİM, üçüncü çeyrekte 227 milyon lira net kar etti.",Ekonomi
Benzin grubunda perşembe veya cuma gününden geçerli olmak üzere fiyat artışı bekleniyor.,Ekonomi
Gram altın güne yatay başladı,Ekonomi
"Brent petrolün varil fiyatı, Suudi Arabistan'da yaşanan gelişmelerin piyasalara yansımasıyla 64 doların üzerine çıktı.",Ekonomi
Japonya hisseleri 25 yılın zirvesinde kapattı,Ekonomi
Küresel 'ucuz para' gelişen piyasa hedge fonlarını destekliyor,Ekonomi
Dev şirket 6 bin kişiyi işten çıkaracak,Ekonomi
"Dünyanın en eskisi, Vilsan'ı satın alacak",Ekonomi
Avustralya Merkez Bankası politika faizini değiştirmeyerek rekor düşük seviye olan yüzde 1.5'te bıraktı.,Ekonomi
Piyasalar ECB Başkanı Draghi'ye odaklandı,Ekonomi
"Dünyanın en büyük ekonomileri ABD, Çin ve Japonya, 63 trilyon dolarlık ""küresel hükümet borçları ligi""nde ilk üçte yer alıyor.",Ekonomi
Jeff Bezos 1.1 milyar dolarlık hisse sattı,Ekonomi
Ürün ihtisas borsası için tarih verildi,Ekonomi
"Otokar, Borsa İstanbul'un BIST Sürdürülebilirlik Endeksi'ndeki şirketler listesine üçüncü kez girmeye hak kazandı.",Ekonomi
"Çinli Tencent, Snapchat'in sahibi Snap'in yüzde 12 hissesini satın aldı.",Ekonomi
"Türk çelik sektörünün ihracatı, 2017'nin ocak-ekim döneminde değer bazında 9,2 milyar dolar, miktar bazında da 14,6 milyon ton düzeyinde gerçekleşti.",Ekonomi
"Philadelphia Fed Başkanı Harker, Aralık toplantısında faiz artırımını desteklediğini, 2018 için ise enflasyona bakacağını söyledi.",Ekonomi
ABD ve Çin arasında dev anlaşma imzalandı,Ekonomi
"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,34 düşüşle 111.894,54 puandan tamamladı.",Ekonomi
New York borsası düşüşle açıldı,Ekonomi
"Çimsa, 2017 yılına ait 9 aylık gerçekleşen net satış gelirini 1.054 milyon TL olarak, net dönem karını ise 153 milyon TL olarak açıkladı.",Ekonomi
Danışmanlık devlerine para cezası,Ekonomi
"Nordea: ECB, Draghi döneminde faiz artırmayacak",Ekonomi
"Borçlarını ödemekte zorluk çeken ve bu nedenle iflas eşiğine gelen Venezuela, Rusya ile borçlarının yeniden yapılandırılması konusunda anlaştı.",Ekonomi
Küresel kredi görünümü 'durağan',Ekonomi
"""Finans Kuruluşlarında Gözetimin Geleceği"" araştırmasına göre, finansal hizmet sunan şirketler, piyasa manipülasyonuyla mücadelede yıl sonuna kadar 758 milyon dolar harcayacak.",Ekonomi
"Değeri 280 milyon dolara ulaşan dijital para Ethereum'daki işlemler, kimliği belirlenemeyen bir kişinin sildiği kod yüzünden kilitlendi.",Ekonomi
"BNP Paribas BOE'nin geçtiğimiz hafta 10 yıl aradan sonra ilk kez faiz artırımına gitmesini ""hata"" olarak niteledi.",Ekonomi
Yeşil Yatırım Holding'in otomobil alım-satım yatırımı olan Wowwo'nun halka arzı için çalışmalar başladı.,Ekonomi
Japonya'nın döviz rezervi geriledi,Ekonomi
"Nissan Motor Co., Eylül ayında sona eren üç aylık dönemde net karında küçük çaplı bir düşüş yaşandığını bildirdi.",Ekonomi
Borsadaki bankaların 9 aylık karı yüzde 27 arttı,Ekonomi
ECB ikinci yarıda güçlü büyüme bekliyor,Ekonomi
"Ekonomi Bakanı Zeybekci, yeni düzenlemeyle yurt dışından marka satın alan firmalara 2 milyon dolara kadar destek vereceklerini söyledi.",Ekonomi
"Avrupa Birliği, Türkiye'nin büyüme tahminini bu yıl için yüzde 3'den yüzde 5,3'e, 2018 için de yüzde 3,3'den yüzde 4'e yükseltti.",Ekonomi
Siemens enerji bölümünde küçülmeye gidiyor,Ekonomi
Irak Merkez Bankası yaptığı açıklamada Irak'ın özel bankalarına IKBY'deki şubelerini kapatma talimatı verdi.,Ekonomi
"UBS, EUR/USD paritesi beklentisini açıkladı",Ekonomi
Dövizle borçlanmaya kısıtlamalar gelebilir,Ekonomi
Cleveland Fed Başkanı Loretta Mester ABD ekonomisini desteklemek ve enflasyonla mücadele etmek için en iyi yolun 'kademeli faiz artışı' olduğunu savundu.,Ekonomi
"S&P, Türkiye enflasyon tahminini açıkladı",Ekonomi
"ABD'de toptan eşya stokları, eylülde yüzde 0,3 artarak beklentiyi karşıladı.",Ekonomi
New York borsası sert düşüşle açıldı,Ekonomi
ABD'de işsizlik maaşı başvuruları yükseldi,Ekonomi
"Küresel altın talebi, bu yılın üçüncü çeyreğinde geçen yılın aynı dönemine göre yüzde 9 azalarak 915 ton oldu.",Ekonomi
Türkiye'de piyasalara beklentinin altında gelen enflasyon verisi doping oldu.,Ekonomi
"Ocak-eylül döneminde yurt dışına 211 bin 695 araç satan Ford Otosan, miktar bazında tarihinin en yüksek 9 aylık ihracat performansını yakaladı. Şirket bu dönemde et karını da yüzde 54 artırdı.",Ekonomi
"Halka arzlar, dip seviyelere geriledi. Arz gelirleri 12 milyon dolara kadar düştü. Borsadaki firmaların piyasa değeri 39 milyar dolar eridi. ",Ekonomi
"Altının gramı 159,9 lira, çeyrek altın 262 lira, Cumhuriyet altını da 1.070 liradan satılıyor.",Ekonomi
Ekim'de aylık en yüksek reel getiri Amerikan Doları'nda oldu.,Ekonomi
Şişecam'ın üçüncü çeyrek net karı yüzde 70.5 artışla 276.7 milyon lira oldu.,Ekonomi
Tüpraş 3. çeyrekteki net karını yüzde 70.8 artışla 992.2 milyon TL olarak açıkladı.,Ekonomi
Piyasalarda Trump-Şi Cinping görüşmesi takip ediliyor,Ekonomi
"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,34 düşüşle 111.894,54 puandan tamamladı.",Ekonomi
"Bitcoin, SegWit2x güncellemesine ilişkin planın geliştiriciler tarafından iptal edilmesiyle güçlü yükseldi.",Ekonomi
Migros yatırımcıdan habersiz Makro'yu alıyor,Ekonomi
Suudi Arabistan'da dondurulan 1700 hesapta 800 milyar dolar bulunuyor.,Ekonomi
Çin'de ÜFE ve TÜFE beklentinin üzerinde,Ekonomi
Avrupa'da 20 milyondan fazla satan doğal mucize şimdi Türkiye'de!,Ekonomi
Türkiye'de külçe ve sikke altın alımları 4 yılın zirvesinde,Ekonomi
THY tarihinin en yüksek 3. çeyrek karını açıkladı,Ekonomi
İndirim marketleri son 3 yılda yüzde 72 büyüdü,Ekonomi
"Brent petrolün varil fiyatı, ABD'de açıklanan haftalık petrol stok verilerinin ardından 63,53 dolardan işlem görüyor.",Ekonomi
"Koç Holding 9 ayda 3,8 milyar lira kar elde etti",Ekonomi
Motorinde 11 Kasım'dan geçerli 10-12 kuruş fiyat artışı bekleniyor.,Ekonomi
"ABD Adalet Bakanlığı, ülkenin en büyük telekomünikasyon şirketlerinden AT&T ile eğlence sektörünün devi Time Warner'ın birleşmesine CNN'in çatı şirketinin satılması şartını getirdi",Ekonomi
Türk Eximbank ihracatçıya Aralık itibariyle forward kur sunacak.,Ekonomi
"Avrupalı uçak üreticisi Airbus ile ABD'li rakibi Boeing şirketinin, Dubai Airshow'da Emirates Havayolları'na toplamda yaklaşık 30 milyar dolarlık uçak satışı yapması bekleniyor.",Ekonomi
"Çin'in en büyük online alışveriş platformu Alibaba, ülkede her yıl kutlanan Bekarlar Günü'nde 25 milyar doları aşan satışla rekor kırdı. ",Ekonomi
"İnternetten “kitle fonlama” mevzuata giriyor. Melek yatırımcı, internet platformlarından fon bulabilecek.",Ekonomi
"Borsa İstanbul'da BIST 100 endeksinde tarihi zirvelerin görülmesi yatırımcıları borsaya çekerken, bu yılın 9 aylık dönemde 6 binin üzerine yeni yatırımcı borsaya giriş yaptı.",Ekonomi
Kerkük'ten İran'a günlük 30 ila 60 bin varil petrol ihracatı yapılması için iki ülke arasında prensip anlaşması yapıldı.,Ekonomi
"Wal-Mart, müşteriye 7.5 milyon dolar ödeyecek",Ekonomi
Almanya'nın en büyük bankalarından biri olan Commerzbank'ta dün hareketli saatler yaşandı.,Ekonomi
Çarşamba akşamından bu yana Bitcoin'in değeri bin dolardan daha fazla gerileme gösterdi.,Ekonomi
"Borsa İstanbul'da işlem gören hisse senetleri haftalık bazda ortalama yüzde 2,11 azaldı. Bu hafta 24 ayar külçe altının gram satış fiyatı yüzde 0,57 değer kazanırken, döviz kurları ise yatay seyretti.",Ekonomi
Çin'de yabancı şirketlere yönelik kısıtlamalar azalacak,Ekonomi
Dev havayolu şirketi Island Air iflas etti!,Ekonomi
Bankacılık sektörü aktif büyüklüğü 3 trilyon lirayı aştı,Ekonomi
İki yıl içerisinde halka açılmayı planlayan Uber'in en önemli yatırımcısı Japonya bankası Softbank olabilir.,Ekonomi
"Hong Kong ekonomisi, üçüncü çeyrekte yüzde 3.6 büyüdü.",Ekonomi
Avrupa borsaları yükselişle açıldı,Ekonomi
"MÜSİAD Bursa Şubesi üyeleri, Türk gıda ürünlerinin uluslararası pazarlarda daha fazla söz sahibi olması hedefiyle İsviçre'de çikolata markası satın alacak.",Ekonomi
"İhracat birim değeri eylülde bir önceki yılın aynı ayına göre yüzde 3 yükselirken, aynı dönemde miktar da yüzde 5,5 artış kaydetti. İthalatta ise her iki endekste de daha yüksek bir artış yaşandı.",Ekonomi
"JCR, Türkiye'nin ""BBB-"" olan kredi notunu teyit ederken, not görünümünü ""durağan"" olarak belirledi.",Ekonomi
"Sırbistan merkez bankası, yerel döviz piyasasında işlem gören yabancı paralar arasına Türk Lirası'nı da dahil edeceğini açıkladı.",Ekonomi
"Hakkındaki tartışmalar devam ederken, kripto paralar için görüşler ise üç'e ayrılıyor; yasadışı kabul edenler, yasal görenler ve kararsızlar…",Ekonomi
"Brent petrolün varil fiyatı, haftanın son işlem gününde 63,80 dolarda yatay seyrediyor.",Ekonomi
1999 yılından beri kar edemeyen Opel için PSA grubu 3 yıllık bir yol haritası çizdi ve tasarruf planı açıklandı.,Ekonomi
Alan Greenspan'a göre borsaların umut bağladığı sert vergi indirimi ekonomik bir hata olabilir.,Ekonomi
Borsa İstanbul'da reel sektör şirketlerinin kar artışı yüzde 93'ü buldu,Ekonomi
"Commerzbank, piyasalar ABD Merkez Bankası'nın faiz artışını fiyatlarken, dolar / TL tahminlerini yukarı çekti.",Ekonomi
Borsa not artışı sonrası borsada sert yükseliş,Ekonomi
"Kredi Derecelendirme Kuruluşu Fitch Ratings, Türkiye'nin kredi notunu yabancı para cinsinden BBB-'ye çıkararak yatırım yapılabilir seviyeye yükseltti. ",Ekonomi
Otomotivde özel tüketim vergilerinde yaşanan artışın faturası ağır oldu. Eylül ayında yüzde 15 büyüyen otomotiv pazarı ekim ayında yüzde 13.6 geriledi.,Ekonomi
Fitchin Türkiyenin kredi derecelendirme notunu yükseltmesine yurt dışındaki ekonomistlerden de olumlu tepkiler geldi.,Ekonomi
Yunanistan'da 3 yıldır devam eden ekonomik kriz yiyecek-içecek ve eğlence sektörüne büyük darbe vurdu.,Ekonomi
"Türkiye İstatistik Kurumu (TÜİK)'in açıkladığı rakamlara göre Tüketici Fiyatları Endeksi Ekim ayında 1.96, Üretici Fiyatları Endeksi ise 0.17 arttı. Piyasa beklentisi TÜFE'deki artışın yüzde 2.17 olması yönündeydi.",Ekonomi
Asya borsalarında yarın yapılacak ABD Başkanlık seçimleri öncesinde sınırlı düşüşler gözlendi.,Ekonomi
"Almanyanın Frankfurt kentinde bulunan Avrupa Merkez Bankası, önümüzdeki yıldan itibaren halen kullanılan euronun kademeli olarak değiştirileceğini bildirdi.",Ekonomi
Türkiyede son 10 yılda 136 bin ton olan bor üretimi yüzde 1350 oranında artarak 1.8 milyon tona çıktı.,Ekonomi
365 milyar dolarlık altın sular altında kaldı,Ekonomi
"Doğan Holdingin kurumsal yönetim derecelendirme notu 2011e göre revize edilerek 8.59dan (yüzde 85,87) 9,03e (yüzde 90,31) yükseltildi.",Ekonomi
"İran Petrol Bakanı Rüstem Kasımi, Batı'nın ülkesine yönelik yaptırımları daha da ağırlaştırması halinde petrol ihracatını gözden geçireceklerini belirtti.",Ekonomi
"Merkez Bankası, son çeyrekten itibaren Türkiye'de enflasyonun düşmesini ve büyümenin hızlanmasını bekliyor.",Ekonomi
Küresel piyasalar dün açıklanan veriler ve haberlerin etkisiyle sert düşüşler kaydetti.,Ekonomi
"Sanayi üretim endeksi, Eylül ayında geçen yılın aynı ayına göre yüzde 6,2 arttı.",Ekonomi
"İstanbul serbest piyasada dolar 1,7830, Euro 2,2770 liradan güne başladı.",Ekonomi
Bank Asya karını 9 ayda yüzde 35 artırdı,Ekonomi
Mc Donalds'ın satışları 9 yıldır ilk defa düştü,Ekonomi
"KOBİ kredileri 12 ay öncesine göre yüzde 10,2 arttı",Ekonomi
"İstanbul Menkul Kıymetler Borsası (İMKB) 100 Endeksi güne 64.91 puanlık yükselişle 72.080,11 puandan başladı.",Ekonomi
CarrefourSA ile ilgili flaş satış iddiası!,Ekonomi
"Uluslararası Para Fonu, Türkiye'ye güçlü büyüme momentumunu göz önüne alarak, uygulanan mali politika desteğinin yeniden değerlendirmesi ve orta vadeli konsolidasyon için güvenilir bir plan oluşturulması tavsiyesinde bulundu.",Ekonomi
"OPEC Genel Sekreteri Muhammed Barkindo, petrol piyasasının artan bir hızla yeniden yeniden dengelenmekte olduğunu dile getirdi.",Ekonomi
"Geride kalan bir haftada Bitcoin fiyatları çakılırken, anlaşmazlıktan doğan yeni rakibi Bitcoin Cash ise değerini ikiye katladı.",Ekonomi
"Çip üreticisi Qualcomm, Broadcom'un teklifini geri çevirmeye hazırlanıyor.",Ekonomi
Merkez'den reel sektörün kur riski için yeni araç,Ekonomi
"Uber, yüzde 20 hissesini Softbank'a satacak",Ekonomi
"Koç Holding'in otomotiv şirketi Otokar ile Sabancı Holding'in şirketi TEMSA, Libya'da önemli bir ihalede rekabete giriyor.",Ekonomi
"Cari işlemler açığının piyasa beklentilerinin üzerinde gelmesinde dış ticaretteki gelişmeler öne çıkarken, parasal olmayan altın ithalatının yaklaşık 4 katına çıkması ve 7,4 milyar dolarlık negatif etki yaratması dikkati çekti.",Ekonomi
Gedikli: Cari açıkta düşüş yaşanacak,Ekonomi
Türkiye'nin önde gelen iç giyim markalarından Suwen'in çoğunluk hissesi Lüksemburg merkezli IntiLux şirketine satılıyor.,Ekonomi
"Garanti Bankası, ICBC ile 250 milyon dolar tutarında kredi anlaşması imzaladı. Banka, kredi dış ticaretin finansmanında kullanacak.",Ekonomi
"BIST 100 endeksi, günün ilk yarısında yüzde 0,20 değer kaybederek 108.731,84 puana geriledi.",Ekonomi
"AVM Ciro Endeksi eylülde bir önceki yılın aynı dönemine göre yüzde 8,5 artarak 216 puana yükseldi.",Ekonomi
Univa'da ikinci etap satışları başladı,Ekonomi
Bitcoin zirveden keskin geri dönüşün ardından toparlanmaya çalışıyor.,Ekonomi
"Brent petrolün varil fiyatı, haftanın ilk işlem gününde 63,52 dolarda yatay seyrediyor.",Ekonomi
Türkiye'de yerleşiklerin tasarruf aracı olarak altın ilgisi artıyor.,Ekonomi
"Morgan Stanley'e göre, Çarşamba günü açıklanacak ABD TÜFE verisinin beklentileri karşılamaması, ABD Merkez Bankası'nın Aralık ayı faiz artışı fiyatlamalarını yüzde 50'ye doğru çekebilir.",Ekonomi
"Philadelphia Fed Başkanı Harker, bu yıl 25 baz puanlık bir faiz artışı daha beklediğini belirtti.",Ekonomi
"Merkez Bankası Beklenti Anketinde 2017 yıl sonu döviz kuru beklentisi bir önceki anket döneminde 3.72 TL iken, bu anket döneminde 3.86 TL'ye yükseldi.",Ekonomi
Türkiye'nin önde gelen iç giyim markalarından Suwen'in çoğunluk hissesi Lüksemburg merkezli IntiLux şirketine satılıyor.,Ekonomi
Otomobil üretimi 10 ayda yüzde 27 arttı,Ekonomi
IMF: Türkiye mali politika desteğini gözden geçirmeli,Ekonomi
AVM'lerin cirosu eylülde yüzde 8.5 arttı,Ekonomi
Finansal kiralama şirketlerinin 9 aylık net dönem karı 881 milyon TL oldu.,Ekonomi
"Tavuk yumurtası üretimi, eylülde bir önceki aya göre yüzde 0,02 azalışla 1,6 milyar oldu.",Ekonomi
"Otellerde istihdam ağustos ayında yüzde 15,4 artış kaydederek 355 bin kişiye çıktı.",Ekonomi
"Doğu Karadeniz, 680 milyon dolarlık fındık ihraç etti",Ekonomi
Cezayir'deki yabancı yatırımlarda Türkiye ilk sırada,Ekonomi
"ABD'de geleneksel ""Kara Cuma (Black Friday)"" indirim kampanyalarında, 247 milyon kişi 59.1 milyar dolarlık alışveriş yaptı. ",Ekonomi
"İstanbul'da geçen ay perakende fiyatlar yüzde 1.94, toptan fiyatlar ise yüzde 0.08 oranında artış gösterdi. ",Ekonomi
"Türkiye'nin turizm geliri, bu yılın üçüncü çeyreğinde geçen yılın aynı dönemine göre yüzde 37,6 artarak, 11 milyar 391 milyon 668 bin dolara ulaştı.",Ekonomi
"Ekonomik güven endeksi, ekimde geçen aya kıyasla yüzde 1,5 azalarak 103'ten 101,4'e düştü.",Ekonomi
Bankalar KOBİ'lere kredi musluklarını açtı,Ekonomi
Bankacılardan faiz indirimine destek,Ekonomi
Bitcoin'de vadeli kontrat dönemi başlıyor,Ekonomi
Deutsche Bank'ın Türk Lirası ile ilgili yayınladığı yeni raporda dolar / TL'de düzeltme beklendiği belirtildi.,Ekonomi
"Bitcoin'in gizemli yaratıcısının şu an yaklaşık 5,9 milyar dolarlık bir serveti olduğu tahmin ediliyor.",Ekonomi
"Avrupa borsaları, güne İspanya hariç yükselişle başladı.",Ekonomi
Ekonomide Yılın İş İnsanları ödülleri sahiplerini buldu,Ekonomi
Euro Bölgesi Kıbrıs Rum kesimini kurtarıyor,Ekonomi
"Kredi kartı işlemlerinde uygulanacak azami faiz oranlarında düzenlemeye gidildi. Aylık azami akdi faiz oranı Türk Lirası için yüzde 2,34'ten yüzde 2,22'ye, aylık azami gecikme faizi oranı ise yüzde 2,84'ten yüzde 2,72'ye indirildi.",Ekonomi
"Uluslararası Para Fonu (IMF) ""Avrupa'da finansal istikrarın halen kırılganlığını korumaya devam ettiği"" tespitinde bulundu. ",Ekonomi
Türk Hava Yolları (THY) 2015-2020 yılları arasında Airbus firmasından 117 adet uçak alacağını bildirdi.,Ekonomi
4 ihalede 3.5 milyar dolar kasaya girdi,Ekonomi
IMF Türkiye'de bankacılık sektörünün yeterli ölçüde sermayelendirilmiş durumda olduğunu ve büyümek için yeterli imkanı olduğunu belirtti.,Ekonomi
"Gold Teknoloji Marketleri, franchise mağazalarını devraldı.",Ekonomi
Bütçe şubatta 1.4 milyar açık verdi,Ekonomi
Dünyanın en büyük gayrimenkul fuarı olan MIPIM'de ödül kazanan projeler belli oldu. Türkiye MIPIM'den iki ödülle döndü.,Ekonomi
